模型,MSE,MAE,RMSE
RandomForest,305.2539161290322,12.641774193548386,17.471517281822784
NeuralNetwork,1638.416217901286,29.575773827971226,40.47735438367095
SVR,11817.609131158673,74.39310481926944,108.70882729180126
LinearRegression,1149.5061085846694,25.73790615186591,33.904367101962976
Lasso,1177.584965417675,25.730865399311238,34.31595788285204
GaussianProcessRegressor,3.7000590462764973e-16,1.5276610829386624e-08,1.9235537544546284e-08
XGBoost,7.933879608630847e-07,0.0006078020218879946,0.0008907232796234107
