iter	Passed	Remaining
400	31784	47479
401	31869	47408
402	31946	47325
403	32017	47233
404	32093	47149
405	32172	47069
406	32251	46990
407	32328	46908
408	32405	46826
409	32467	46721
410	32542	46636
411	32619	46554
412	32690	46462
413	32762	46373
414	32845	46300
415	32913	46205
416	32995	46130
417	33133	46132
418	33206	46044
419	33288	45969
420	33366	45888
421	33443	45806
422	33533	45741
423	33599	45644
424	33674	45559
425	33770	45503
426	33854	45430
427	33938	45357
428	34017	45277
429	34098	45200
430	34185	45131
431	34265	45052
432	34329	44953
433	34407	44872
434	34475	44777
435	34553	44697
436	34634	44620
437	34707	44533
438	34785	44452
439	34869	44379
440	34949	44300
441	35030	44224
442	35101	44133
443	35165	44035
444	35241	43953
445	35324	43877
446	35393	43787
447	35466	43699
448	35536	43609
449	35623	43540
450	35700	43457
451	35769	43366
452	35849	43287
453	35921	43201
454	35998	43119
455	36074	43036
456	36143	42944
457	36216	42858
458	36302	42787
459	36387	42715
460	36467	42637
461	36546	42558
462	36620	42473
463	36696	42390
464	36773	42308
465	36843	42219
466	36923	42141
467	36996	42055
468	37068	41969
469	37137	41878
470	37211	41793
471	37288	41713
472	37362	41627
473	37434	41541
474	37507	41455
475	37578	41367
476	37653	41285
477	37740	41214
478	37826	41143
479	37902	41061
480	37998	41000
481	38077	40921
482	38146	40831
483	38227	40754
484	38318	40688
485	38395	40607
486	38485	40540
487	38550	40446
488	38631	40369
489	38703	40283
490	38777	40198
491	38854	40118
492	38934	40039
493	39002	39949
494	39077	39867
495	39151	39782
496	39227	39700
497	39300	39616
498	39389	39547
499	39480	39480
500	39558	39400
501	39638	39322
502	39716	39242
503	39790	39158
504	39860	39071
505	39937	38990
506	40010	38905
507	40077	38815
508	40158	38738
509	40229	38651
510	40302	38567
511	40378	38485
512	40451	38401
513	40541	38332
514	40629	38263
515	40715	38190
516	40793	38110
517	40877	38036
518	40962	37962
519	41051	37893
520	41133	37817
521	41206	37732
522	41280	37649
523	41368	37578
524	41449	37501
525	41527	37422
526	41599	37336
527	41679	37259
528	41748	37170
529	41827	37092
530	41897	37005
531	41978	36928
532	42055	36847
533	42139	36773
534	42218	36694
535	42297	36615
536	42379	36539
537	42463	36464
538	42549	36391
539	42628	36313
540	42703	36230
541	42781	36151
542	42865	36076
543	42943	35996
544	43026	35921
545	43096	35834
546	43171	35752
547	43241	35666
548	43316	35583
549	43391	35502
550	43455	35410
551	43534	35332
552	43605	35247
553	43680	35165
554	43750	35078
555	43832	35002
556	43903	34917
557	43978	34836
558	44056	34756
559	44134	34676
560	44209	34595
561	44291	34519
562	44362	34433
563	44438	34353
564	44524	34279
565	44594	34194
566	44669	34112
567	44752	34037
568	44828	33956
569	44909	33878
570	44978	33792
571	45053	33711
572	45129	33630
573	45207	33551
574	45280	33468
575	45365	33393
576	45447	33317
577	45530	33241
578	45606	33161
579	45679	33078
580	45754	32996
581	45830	32915
582	45901	32831
583	45979	32752
584	46050	32668
585	46129	32589
586	46199	32504
587	46263	32415
588	46332	32330
589	46410	32251
590	46487	32171
591	46567	32093
592	46643	32013
593	46719	31932
594	46797	31853
595	46879	31777
596	46973	31709
597	47043	31624
598	47125	31547
599	47201	31467
600	47275	31386
601	47356	31308
602	47423	31222
603	47493	31137
604	47577	31062
605	47656	30984
606	47718	30895
607	47790	30812
608	47863	30730
609	47942	30651
610	48011	30567
611	48086	30486
612	48161	30405
613	48226	30318
614	48299	30236
615	48381	30159
616	48465	30084
617	48537	30002
618	48624	29929
619	48712	29855
620	48787	29775
621	48867	29697
622	48945	29618
623	49024	29540
624	49097	29458
625	49168	29375
626	49241	29293
627	49313	29211
628	49388	29130
629	49468	29052
630	49538	28969
631	49612	28888
632	49681	28804
633	49753	28722
634	49822	28638
635	49907	28563
636	49995	28490
637	50079	28415
638	50168	28342
639	50249	28265
640	50346	28197
641	50439	28126
642	50527	28053
643	50605	27974
644	50680	27893
645	50745	27808
646	50824	27729
647	50886	27642
648	50955	27558
649	51036	27481
650	51116	27403
651	51185	27319
652	51271	27245
653	51350	27167
654	51430	27089
655	51520	27016
656	51609	26943
657	51690	26866
658	51789	26798
659	51871	26721
660	51969	26652
661	52055	26578
662	52136	26500
663	52214	26421
664	52289	26341
665	52361	26259
666	52440	26180
667	52518	26102
668	52589	26019
669	52658	25936
670	52730	25854
671	52803	25772
672	52883	25695
673	52959	25615
674	53035	25535
675	53123	25461
676	53207	25385
677	53287	25307
678	53365	25228
679	53443	25149
680	53528	25074
681	53598	24991
682	53676	24912
683	53747	24830
684	53819	24749
685	53902	24672
686	53980	24593
687	54066	24518
688	54146	24440
689	54218	24358
690	54296	24280
691	54377	24202
692	54446	24119
693	54514	24036
694	54586	23955
695	54660	23874
696	54743	23798
697	54823	23720
698	54902	23641
699	54987	23566
700	55067	23488
701	55151	23411
702	55237	23336
703	55312	23256
704	55394	23179
705	55464	23097
706	55545	23019
707	55629	22943
708	55711	22866
